派蒙语录	出处
「呜…我理解。要是有一天我和（玩家名）分开了，我也一定习惯不了…可能还会对着空气自言自语…」	3.7版本活动「决斗！召唤之巅！」·第四幕「幕收！欢谈如梦」
「唉，明明都一起来的，现在又只剩下我们两个…不过这么一想，我们两个单独相处的时间也已经有好多好多了呢。」
「唔、那个…没有别的意思，就是、就是想稍微问一下…和我在一起不会很无聊吧？」	第三章·第六幕「卡利贝尔」
「解锁全部奇遇了！不过，我才是你旅行中最大最特殊的奇遇吧！」	2.8版本网页活动「纸间奇旅」
「派蒙今年的生日愿望，就是希望能够一直陪在旅行者身边！」	2022年派蒙生日贺图。
「就算你现在已经契约了影狼丸，你也不能忘记派蒙是你最最最好的伙伴哦！」	限时活动「万端珊瑚事件簿·犬武者」最后一步「万端珊瑚事件簿·它的认可」。
「但是如果有一天，万一有什么意外，我不得不和（玩家名）分开，我也会很担心的……呸呸，我在说什么不吉利的事情！总之就是打个比方！我和（玩家名）是最好的伙伴，我们是不会分开的！」	限时活动「万端珊瑚事件簿·犬武者」最后一步「万端珊瑚事件簿·它的认可」。
「我的愿望就是实现你的愿望哦。」	限时活动「月中王国」最后一步「大决战！海底捞月！」。
「没错！你的幸福就是派蒙的幸福呀！所以反过来说，派蒙幸福，你也幸福。」	稻妻地区鸣神大社抽取「御神签」首次抽中「大吉」触发对话。
「我们是不会分开的，对吗？我们还要一起走很远很远的路，度过好久好久的时光。」	璃月地区世界任务「孤木孑立，无林可依」。
「进不去！怎么想都进不去吧？！」	璃月地区世界任务「翠石砌玉壶」。
「前面的区域，以后再来探索吧？」	碰到地图边界的时候。
